Compound,k2,log_k2,Source,Notes,SMILES
T1308 + TCO,52560630198.61598,10.720660563746181,Svatunek computational data,Calculated from ΔG‡ = 11.83 kJ/mol,CC(=O)Nc2nnc(C(=O)OC)nn2
T1301 + TCO,52215819616.549644,10.717802099387773,Svatunek computational data,Calculated from ΔG‡ = 11.85 kJ/mol,CC(=O)Nc2nnc(C(F)(F)F)nn2
T0333 + TCO,52044263520.16738,10.71637286720232,Svatunek computational data,Calculated from ΔG‡ = 11.85 kJ/mol,FC(F)(F)c2nnc(I)nn2
T0365 + TCO,51467783561.913216,10.711535465946751,Svatunek computational data,Calculated from ΔG‡ = 11.88 kJ/mol,C#Cc2nnc(c1ncncc1)nn2
T0801 + TCO,51467783561.913216,10.711535465946751,Svatunek computational data,Calculated from ΔG‡ = 11.88 kJ/mol,NC(=O)c2nnc(c1c(O)cccc1)nn2
T1106 + TCO,51441732186.97602,10.711315584072066,Svatunek computational data,Calculated from ΔG‡ = 11.88 kJ/mol,c1cc(C(=O)N)ccc1c2nnc(C(F)F)nn2
T1190 + TCO,51194900852.37356,10.709226706250059,Svatunek computational data,Calculated from ΔG‡ = 11.9 kJ/mol,c1cc(C(=O)O)ccc1c2nnc(c1ncncc1)nn2
T0566 + TCO,51000870891.29342,10.707577592177422,Svatunek computational data,Calculated from ΔG‡ = 11.91 kJ/mol,COC(=C)c2nnc(F)nn2
T0960 + TCO,50884806077.246284,10.706588123753837,Svatunek computational data,Calculated from ΔG‡ = 11.91 kJ/mol,c1cc(C(F)(F)F)ccc1c2nnc(c1ncncc1)nn2
T0311 + TCO,50423182145.13677,10.702630249997009,Svatunek computational data,Calculated from ΔG‡ = 11.93 kJ/mol,FC(F)c2nnc(c1cnccc1)nn2
T1097 + TCO,50232077018.80087,10.700981135936871,Svatunek computational data,Calculated from ΔG‡ = 11.94 kJ/mol,c1cc(C(=O)N)ccc1c2nnc(c1ncncn1)nn2
T1241 + TCO,50029029812.62249,10.699222080914392,Svatunek computational data,Calculated from ΔG‡ = 11.95 kJ/mol,c1cc(C(=O)OC)ccc1c2nnc(c1ncncn1)nn2
T0692 + TCO,49499927349.06859,10.694604561521007,Svatunek computational data,Calculated from ΔG‡ = 11.98 kJ/mol,c1sccc1c2nnc(C(F)(F)F)nn2
T0055 + TCO,49487398112.26368,10.694494620608664,Svatunek computational data,Calculated from ΔG‡ = 11.98 kJ/mol,c1cccnc1c2nnc(c1ncccc1)nn2
T0802 + TCO,49424799468.26804,10.69394491592195,Svatunek computational data,Calculated from ΔG‡ = 11.98 kJ/mol,NC(=O)c2nnc(c1cc(O)ccc1)nn2
T0118 + TCO,49374777570.0716,10.69350515217258,Svatunek computational data,Calculated from ΔG‡ = 11.99 kJ/mol,c1ncncc1c2nnc(c1ncccn1)nn2
T0571 + TCO,49125426446.85331,10.69130633341323,Svatunek computational data,Calculated from ΔG‡ = 12.0 kJ/mol,COC(=C)c2nnc(c1ncccc1)nn2
T1157 + TCO,49001223510.36394,10.690206924052305,Svatunek computational data,Calculated from ΔG‡ = 12.0 kJ/mol,CC(=O)c2nnc(C#Cc1ccccc1)nn2
T1095 + TCO,48877334591.12269,10.68910751466638,Svatunek computational data,Calculated from ΔG‡ = 12.01 kJ/mol,c1cc(C(=O)N)ccc1c2nnc(c1ncncc1)nn2
T0092 + TCO,48877334589.71601,10.689107514653882,Svatunek computational data,Calculated from ΔG‡ = 12.01 kJ/mol,c1cncnc1c2nncnn2
T1315 + TCO,48741418525.7879,10.687898164343114,Svatunek computational data,Calculated from ΔG‡ = 12.02 kJ/mol,CC(=O)Nc2nnc(C(=O)N)nn2
T0788 + TCO,48642807930.68535,10.687018636856873,Svatunek computational data,Calculated from ΔG‡ = 12.02 kJ/mol,NC(=O)c2nnc(I)nn2
T0729 + TCO,48507544027.363266,10.685809286533605,Svatunek computational data,Calculated from ΔG‡ = 12.03 kJ/mol,o1cccc1c2nnc(C(F)(F)F)nn2
T1003 + TCO,48116183949.81503,10.682291176538644,Svatunek computational data,Calculated from ΔG‡ = 12.05 kJ/mol,c1cc(N(=O)=O)ccc1c2nnc(c1ncccn1)nn2
T0090 + TCO,48116183949.81503,10.682291176538644,Svatunek computational data,Calculated from ΔG‡ = 12.05 kJ/mol,n1cccnc1c2nnc(c1ccncc1)nn2
T0404 + TCO,48006683935.675644,10.681301708090063,Svatunek computational data,Calculated from ΔG‡ = 12.06 kJ/mol,C=Cc2nnc(C(F)(F)F)nn2
T0321 + TCO,47921689571.635864,10.680532121541164,Svatunek computational data,Calculated from ΔG‡ = 12.06 kJ/mol,FC(F)c2nnc(c1c(O)cccc1)nn2
T0289 + TCO,47583214244.608986,10.677453775270576,Svatunek computational data,Calculated from ΔG‡ = 12.08 kJ/mol,FCc2nnc(c1ncccn1)nn2
T0556 + TCO,47378878823.15991,10.675584779335752,Svatunek computational data,Calculated from ΔG‡ = 12.09 kJ/mol,COC(=O)c2nnc(C=C)nn2
T0247 + TCO,47211261622.48869,10.674045606200458,Svatunek computational data,Calculated from ΔG‡ = 12.1 kJ/mol,c1c(O)cccc1c2nnc(c1ncncn1)nn2
T0050 + TCO,47032329755.57724,10.672396492140319,Svatunek computational data,Calculated from ΔG‡ = 12.11 kJ/mol,c1cccnc1c2nnc(F)nn2
T0098 + TCO,46664683336.75451,10.6689883230827,Svatunek computational data,Calculated from ΔG‡ = 12.13 kJ/mol,c1cncnc1c2nnc(Br)nn2
T0774 + TCO,46534920121.619705,10.667778972771934,Svatunek computational data,Calculated from ΔG‡ = 12.13 kJ/mol,c1occc1c2nnc(C(=O)OC)nn2
T1426 + TCO,46523141372.357735,10.667669031822092,Svatunek computational data,Calculated from ΔG‡ = 12.13 kJ/mol,c1cc(C(=O)[O-])ccc1c2nnc(C(=O)C)nn2
T0102 + TCO,45856657779.68173,10.661402398393568,Svatunek computational data,Calculated from ΔG‡ = 12.17 kJ/mol,c1cncnc1c2nnc(c1cnccc1)nn2
T0551 + TCO,45590437182.49825,10.65887375682219,Svatunek computational data,Calculated from ΔG‡ = 12.18 kJ/mol,COC(=O)c2nnc(c1ccc(O)cc1)nn2
T1137 + TCO,45567360735.6339,10.658653874947506,Svatunek computational data,Calculated from ΔG‡ = 12.18 kJ/mol,CC(=O)c2nnc(c1ccccc1)nn2
T0573 + TCO,45383169162.45186,10.656894819925027,Svatunek computational data,Calculated from ΔG‡ = 12.19 kJ/mol,COC(=C)c2nnc(c1ccncc1)nn2
T0817 + TCO,45268427708.07957,10.655795410564101,Svatunek computational data,Calculated from ΔG‡ = 12.2 kJ/mol,NC(=O)c2nnc(c1cscc1)nn2
T0663 + TCO,45245514250.99163,10.655575528676918,Svatunek computational data,Calculated from ΔG‡ = 12.2 kJ/mol,s1cccc1c2nnc(C(=O)OC)nn2
T1149 + TCO,45199722129.0657,10.655135764940047,Svatunek computational data,Calculated from ΔG‡ = 12.2 kJ/mol,CC(=O)c2nnc(c1c(O)cccc1)nn2
T0084 + TCO,45085444479.24715,10.65403635556662,Svatunek computational data,Calculated from ΔG‡ = 12.21 kJ/mol,n1cccnc1c2nnc(Cl)nn2
T1239 + TCO,44948692616.361015,10.652717064306012,Svatunek computational data,Calculated from ΔG‡ = 12.22 kJ/mol,c1cc(C(=O)OC)ccc1c2nnc(c1ncncc1)nn2
T1136 + TCO,44869112331.03125,10.651947477744613,Svatunek computational data,Calculated from ΔG‡ = 12.22 kJ/mol,CC(=O)c2nnc(I)nn2
T0767 + TCO,44744342166.53208,10.650738127446346,Svatunek computational data,Calculated from ΔG‡ = 12.23 kJ/mol,c1occc1c2nnc(C(F)(F)F)nn2
T0071 + TCO,44744342165.244354,10.650738127433845,Svatunek computational data,Calculated from ΔG‡ = 12.23 kJ/mol,c1cnccc1c2nnc(F)nn2
T0322 + TCO,44653818204.217384,10.649858599935106,Svatunek computational data,Calculated from ΔG‡ = 12.23 kJ/mol,FC(F)c2nnc(c1cc(O)ccc1)nn2
T0576 + TCO,44631215845.736046,10.64963871807292,Svatunek computational data,Calculated from ΔG‡ = 12.24 kJ/mol,COC(=C)c2nnc(c1cncnc1)nn2
T0431 + TCO,44383343694.37236,10.647220017438885,Svatunek computational data,Calculated from ΔG‡ = 12.25 kJ/mol,c1ccccc1C#Cc2nnc(C(F)F)nn2
T0226 + TCO,44192749396.7067,10.645351021491562,Svatunek computational data,Calculated from ΔG‡ = 12.26 kJ/mol,c1(O)ccccc1c2nnc(c1ncncn1)nn2
T1068 + TCO,44181563491.699425,10.645241080566718,Svatunek computational data,Calculated from ΔG‡ = 12.26 kJ/mol,c1cc(OC)ccc1c2nnc(C(=O)OC)nn2
T1418 + TCO,44069860032.90278,10.644141671180794,Svatunek computational data,Calculated from ΔG‡ = 12.27 kJ/mol,c1cc(C(=O)[O-])ccc1c2nnc(C(=O)N)nn2
T0364 + TCO,44014114254.238785,10.643591966481583,Svatunek computational data,Calculated from ΔG‡ = 12.27 kJ/mol,C#Cc2nnc(c1ncccn1)nn2
T1150 + TCO,43969568407.49543,10.643152202732212,Svatunek computational data,Calculated from ΔG‡ = 12.27 kJ/mol,CC(=O)c2nnc(c1cc(O)ccc1)nn2
T1024 + TCO,43902834156.88904,10.642492557120658,Svatunek computational data,Calculated from ΔG‡ = 12.28 kJ/mol,c1cc(N(=O)=O)ccc1c2nnc(C(OC)=C)nn2
T1394 + TCO,43902834155.62549,10.642492557108158,Svatunek computational data,Calculated from ΔG‡ = 12.28 kJ/mol,c1cc(C(=O)[O-])ccc1c2nnc(c1ncncn1)nn2
T0585 + TCO,43548624991.15336,10.638974447100699,Svatunek computational data,Calculated from ΔG‡ = 12.3 kJ/mol,COC(=C)c2nnc(CF)nn2
T0110 + TCO,43066248879.85162,10.634137045857628,Svatunek computational data,Calculated from ΔG‡ = 12.32 kJ/mol,c1ncncc1c2nnc(F)nn2
T0818 + TCO,43033554844.81551,10.633807223045599,Svatunek computational data,Calculated from ΔG‡ = 12.33 kJ/mol,NC(=O)c2nnc(c1occc1)nn2
T0901 + TCO,42913888921.12232,10.63259787273483,Svatunek computational data,Calculated from ΔG‡ = 12.33 kJ/mol,c1cc(NC(=O)C)ccc1c2nnc(C(=O)N)nn2
T0959 + TCO,42892167258.89156,10.632377990860146,Svatunek computational data,Calculated from ΔG‡ = 12.33 kJ/mol,c1cc(C(F)(F)F)ccc1c2nnc(c1ncccn1)nn2
T0656 + TCO,42740423166.862434,10.63083881773735,Svatunek computational data,Calculated from ΔG‡ = 12.34 kJ/mol,s1cccc1c2nnc(C(F)(F)F)nn2
