Compound,k2,log_k2,Source,Notes,SMILES
T1075 + TCO,34474578235.97509,10.537498961696063,Svatunek computational data,Calculated from ΔG‡ = 12.88 kJ/mol,c1cc(OC)ccc1c2nnc(C(=O)N)nn2
T1230 + TCO,34439687171.9457,10.537059197946693,Svatunek computational data,Calculated from ΔG‡ = 12.88 kJ/mol,c1cc(C(=O)OC)ccc1c2nnc(F)nn2
T0072 + TCO,34439687170.954575,10.537059197934195,Svatunek computational data,Calculated from ΔG‡ = 12.88 kJ/mol,c1cnccc1c2nnc(Cl)nn2
T1280 + TCO,34387416774.83223,10.53639955231014,Svatunek computational data,Calculated from ΔG‡ = 12.88 kJ/mol,CC(=O)Nc2nnc(F)nn2
T0877 + TCO,34361311333.0845,10.536069729485613,Svatunek computational data,Calculated from ΔG‡ = 12.88 kJ/mol,c1cc(NC(=O)C)ccc1c2nnc(c1ncncn1)nn2
T0352 + TCO,34343918717.89791,10.535849847623426,Svatunek computational data,Calculated from ΔG‡ = 12.89 kJ/mol,C#Cc2nncnn2
T0021 + TCO,34283113859.376465,10.53508026104953,Svatunek computational data,Calculated from ΔG‡ = 12.89 kJ/mol,Clc2nnc(Cl)nn2
T0223 + TCO,34231081101.3867,10.534420615437973,Svatunek computational data,Calculated from ΔG‡ = 12.89 kJ/mol,c1(O)ccccc1c2nnc(c1ncccn1)nn2
T0996 + TCO,34187780797.903927,10.533870910726263,Svatunek computational data,Calculated from ΔG‡ = 12.9 kJ/mol,c1cc(N(=O)=O)ccc1c2nnc(Cl)nn2
T0244 + TCO,34170476019.400356,10.533651028876577,Svatunek computational data,Calculated from ΔG‡ = 12.9 kJ/mol,c1c(O)cccc1c2nnc(c1ncccn1)nn2
T0403 + TCO,34127252378.762516,10.533101324177364,Svatunek computational data,Calculated from ΔG‡ = 12.9 kJ/mol,C=Cc2nnc(C(F)F)nn2
T0609 + TCO,33997909235.393097,10.531452210117227,Svatunek computational data,Calculated from ΔG‡ = 12.91 kJ/mol,CC(=C)c2nnc(c1ncncc1)nn2
T1017 + TCO,33963500598.980587,10.531012446367857,Svatunek computational data,Calculated from ΔG‡ = 12.91 kJ/mol,c1cc(N(=O)=O)ccc1c2nnc(C#C)nn2
T0530 + TCO,33783425775.907753,10.528703686683663,Svatunek computational data,Calculated from ΔG‡ = 12.93 kJ/mol,COC(=O)c2nnc(C)nn2
T1391 + TCO,33757778859.01383,10.528373863871636,Svatunek computational data,Calculated from ΔG‡ = 12.93 kJ/mol,c1cc(C(=O)[O-])ccc1c2nnc(c1ncccn1)nn2
T0041 + TCO,33638350444.20592,10.526834690736342,Svatunek computational data,Calculated from ΔG‡ = 12.94 kJ/mol,c1ccccc1c2nnc(F)nn2
T0363 + TCO,33612813662.234375,10.526504867924315,Svatunek computational data,Calculated from ΔG‡ = 12.94 kJ/mol,C#Cc2nnc(c1ccncc1)nn2
T0366 + TCO,33519344544.72073,10.525295517613547,Svatunek computational data,Calculated from ΔG‡ = 12.95 kJ/mol,C#Cc2nnc(c1cncnc1)nn2
T0682 + TCO,33493898107.84913,10.524965694814018,Svatunek computational data,Calculated from ΔG‡ = 12.95 kJ/mol,c1sccc1c2nnc(c1ncncn1)nn2
T0357 + TCO,33383853249.712852,10.523536462616065,Svatunek computational data,Calculated from ΔG‡ = 12.96 kJ/mol,C#Cc2nnc(Cl)nn2
T0099 + TCO,33164847010.109406,10.52067799823266,Svatunek computational data,Calculated from ΔG‡ = 12.97 kJ/mol,c1cncnc1c2nnc(I)nn2
T0283 + TCO,33022428026.888424,10.518809002297838,Svatunek computational data,Calculated from ΔG‡ = 12.98 kJ/mol,FCc2nnc(Br)nn2
T0810 + TCO,33005713111.375694,10.518589120423153,Svatunek computational data,Calculated from ΔG‡ = 12.98 kJ/mol,NC(=O)c2nnc(/C=C/c1ccccc1)nn2
T1249 + TCO,32980656600.327724,10.518259297611126,Svatunek computational data,Calculated from ΔG‡ = 12.99 kJ/mol,c1cc(C(=O)OC)ccc1c2nnc(CF)nn2
T0717 + TCO,32980656599.378555,10.518259297598625,Svatunek computational data,Calculated from ΔG‡ = 12.99 kJ/mol,o1cccc1c2nnc(c1ncncc1)nn2
T1002 + TCO,32839028580.48822,10.516390301663803,Svatunek computational data,Calculated from ΔG‡ = 13.0 kJ/mol,c1cc(N(=O)=O)ccc1c2nnc(c1ccncc1)nn2
T0027 + TCO,32756002252.247196,10.515290892302877,Svatunek computational data,Calculated from ΔG‡ = 13.0 kJ/mol,Brc2nnc(Cl)nn2
T1151 + TCO,32756002251.304493,10.515290892290377,Svatunek computational data,Calculated from ΔG‡ = 13.0 kJ/mol,CC(=O)c2nnc(c1ccc(O)cc1)nn2
T0277 + TCO,32722850525.2972,10.514851128541007,Svatunek computational data,Calculated from ΔG‡ = 13.01 kJ/mol,FCc2nncnn2
T1086 + TCO,32664915719.410156,10.51408154197961,Svatunek computational data,Calculated from ΔG‡ = 13.01 kJ/mol,c1cc(C(=O)N)ccc1c2nnc(F)nn2
T0065 + TCO,32656647696.016518,10.513971601042268,Svatunek computational data,Calculated from ΔG‡ = 13.01 kJ/mol,c1ccncc1c2nnc(c1ncccc1)nn2
T0970 + TCO,32590578804.16896,10.513092073543527,Svatunek computational data,Calculated from ΔG‡ = 13.02 kJ/mol,c1cc(C(F)(F)F)ccc1c2nnc(CF)nn2
T0886 + TCO,32483501819.294384,10.511662841345576,Svatunek computational data,Calculated from ΔG‡ = 13.02 kJ/mol,c1cc(NC(=O)C)ccc1c2nnc(C(F)F)nn2
T1005 + TCO,32409577755.25511,10.510673372909492,Svatunek computational data,Calculated from ΔG‡ = 13.03 kJ/mol,c1cc(N(=O)=O)ccc1c2nnc(c1cncnc1)nn2
T0067 + TCO,32360388530.884655,10.510013727272938,Svatunek computational data,Calculated from ΔG‡ = 13.03 kJ/mol,c1cnccc1c2nncnn2
T0378 + TCO,32327637198.454166,10.509573963529819,Svatunek computational data,Calculated from ΔG‡ = 13.04 kJ/mol,C#Cc2nnc(C#C)nn2
T0236 + TCO,32221424113.837936,10.508144731338115,Svatunek computational data,Calculated from ΔG‡ = 13.04 kJ/mol,c1c(O)cccc1c2nnc(F)nn2
T0461 + TCO,32180665910.97733,10.507595026663902,Svatunek computational data,Calculated from ΔG‡ = 13.05 kJ/mol,c1ccccc1/C=C/c2nnc(C(F)(F)F)nn2
T0757 + TCO,32148096470.071823,10.507155262889533,Svatunek computational data,Calculated from ΔG‡ = 13.05 kJ/mol,c1occc1c2nnc(c1ncncn1)nn2
T1164 + TCO,32026254378.209904,10.505506148841894,Svatunek computational data,Calculated from ΔG‡ = 13.06 kJ/mol,CC(=O)c2nnc(c1sccc1)nn2
T1235 + TCO,31912951758.135323,10.5039669757066,Svatunek computational data,Calculated from ΔG‡ = 13.07 kJ/mol,c1cc(C(=O)OC)ccc1c2nnc(c1ncccc1)nn2
T1288 + TCO,31896798424.650433,10.503747093831915,Svatunek computational data,Calculated from ΔG‡ = 13.07 kJ/mol,CC(=O)Nc2nnc(c1ncccn1)nn2
T0766 + TCO,31711621721.982773,10.501218452273037,Svatunek computational data,Calculated from ΔG‡ = 13.08 kJ/mol,c1occc1c2nnc(C(F)F)nn2
T1200 + TCO,31679526993.61795,10.500778688523667,Svatunek computational data,Calculated from ΔG‡ = 13.09 kJ/mol,c1cc(C(=O)O)ccc1c2nnc(CF)nn2
T1105 + TCO,31639454256.86203,10.500228983824455,Svatunek computational data,Calculated from ΔG‡ = 13.09 kJ/mol,c1cc(C(=O)N)ccc1c2nnc(CF)nn2
T0287 + TCO,31583437571.836914,10.499459397275556,Svatunek computational data,Calculated from ΔG‡ = 13.09 kJ/mol,FCc2nnc(c1cnccc1)nn2
T0123 + TCO,31583437570.92795,10.499459397263058,Svatunek computational data,Calculated from ΔG‡ = 13.09 kJ/mol,n1cncnc1c2nnc(CC)nn2
T0582 + TCO,31543486382.54307,10.498909692576346,Svatunek computational data,Calculated from ΔG‡ = 13.1 kJ/mol,COC(=C)c2nnc(c1c(O)cccc1)nn2
T0241 + TCO,31431891702.058346,10.49737051945355,Svatunek computational data,Calculated from ΔG‡ = 13.1 kJ/mol,c1c(O)cccc1c2nnc(c1ncccc1)nn2
T1182 + TCO,31336553400.456104,10.49605122820544,Svatunek computational data,Calculated from ΔG‡ = 13.11 kJ/mol,c1cc(C(=O)O)ccc1c2nnc(Cl)nn2
T0680 + TCO,31265239494.016487,10.495061759756858,Svatunek computational data,Calculated from ΔG‡ = 13.12 kJ/mol,c1sccc1c2nnc(c1ncncc1)nn2
T0106 + TCO,31209885343.87302,10.49429217319546,Svatunek computational data,Calculated from ΔG‡ = 13.12 kJ/mol,c1ncncc1c2nncnn2
T0583 + TCO,30903272868.67302,10.490004476626602,Svatunek computational data,Calculated from ΔG‡ = 13.15 kJ/mol,COC(=C)c2nnc(c1cc(O)ccc1)nn2
T0875 + TCO,30856369821.159218,10.489344831015046,Svatunek computational data,Calculated from ΔG‡ = 13.15 kJ/mol,c1cc(NC(=O)C)ccc1c2nnc(c1ncncc1)nn2
T0570 + TCO,30856369820.27121,10.489344831002548,Svatunek computational data,Calculated from ΔG‡ = 13.15 kJ/mol,COC(=C)c2nnc(c1ccccc1)nn2
T1342 + TCO,30731642753.181385,10.487585775992567,Svatunek computational data,Calculated from ΔG‡ = 13.16 kJ/mol,c1(NC)ccccc1c2nnc(c1ncncn1)nn2
T1126 + TCO,30692769035.95683,10.487036071318354,Svatunek computational data,Calculated from ΔG‡ = 13.16 kJ/mol,c1cc(C(=O)N)ccc1c2nnc(c1ccc(N(=O)=O)cc1)nn2
T0952 + TCO,30653944491.69396,10.48648636664414,Svatunek computational data,Calculated from ΔG‡ = 13.17 kJ/mol,c1cc(C(F)(F)F)ccc1c2nnc(Cl)nn2
T0016 + TCO,30584184027.8048,10.485496898208059,Svatunek computational data,Calculated from ΔG‡ = 13.17 kJ/mol,Clc2nncnn2
T0991 + TCO,30553230356.777668,10.485057134446189,Svatunek computational data,Calculated from ΔG‡ = 13.18 kJ/mol,c1cc(N(=O)=O)ccc1c2nncnn2
T1221 + TCO,30499136796.15414,10.484287547872292,Svatunek computational data,Calculated from ΔG‡ = 13.18 kJ/mol,c1cc(C(=O)O)ccc1c2nnc(c1ccc(N(=O)=O)cc1)nn2
T1174 + TCO,30383544302.810535,10.482638433824652,Svatunek computational data,Calculated from ΔG‡ = 13.19 kJ/mol,CC(=O)c2nnc(c1ccc(OC)cc1)nn2
T0327 + TCO,30345110907.867428,10.482088729125442,Svatunek computational data,Calculated from ΔG‡ = 13.19 kJ/mol,FC(F)(F)c2nnc(C)nn2
T0782 + TCO,30322074211.034065,10.481758906313413,Svatunek computational data,Calculated from ΔG‡ = 13.19 kJ/mol,NC(=O)c2nnc(C)nn2
T0600 + TCO,30260728482.58424,10.480879378814674,Svatunek computational data,Calculated from ΔG‡ = 13.2 kJ/mol,CC(=C)c2nnc(F)nn2
T1299 + TCO,30207152787.589935,10.480109792240777,Svatunek computational data,Calculated from ΔG‡ = 13.2 kJ/mol,CC(=O)Nc2nnc(CF)nn2
T0394 + TCO,30161306266.56616,10.479450146616722,Svatunek computational data,Calculated from ΔG‡ = 13.21 kJ/mol,C=Cc2nnc(c1ncncn1)nn2
T0997 + TCO,30046994160.26687,10.477801032581581,Svatunek computational data,Calculated from ΔG‡ = 13.22 kJ/mol,c1cc(N(=O)=O)ccc1c2nnc(Br)nn2
T0716 + TCO,29986204954.884747,10.476921505057843,Svatunek computational data,Calculated from ΔG‡ = 13.22 kJ/mol,o1cccc1c2nnc(c1ncccn1)nn2
T0358 + TCO,29872556486.083397,10.475272391010204,Svatunek computational data,Calculated from ΔG‡ = 13.23 kJ/mol,C#Cc2nnc(Br)nn2
T1374 + TCO,29864995252.675407,10.475162450047865,Svatunek computational data,Calculated from ΔG‡ = 13.23 kJ/mol,c1(NC)ccccc1c2nnc(C(=O)C)nn2
T1388 + TCO,29759338744.403053,10.47362327691257,Svatunek computational data,Calculated from ΔG‡ = 13.24 kJ/mol,c1cc(C(=O)[O-])ccc1c2nnc(c1ncccc1)nn2
T0416 + TCO,29721694935.31214,10.473073572250856,Svatunek computational data,Calculated from ΔG‡ = 13.24 kJ/mol,c1ccccc1C#Cc2nnc(c1ncccc1)nn2
T1351 + TCO,29721694934.456738,10.473073572238356,Svatunek computational data,Calculated from ΔG‡ = 13.24 kJ/mol,c1(NC)ccccc1c2nnc(C(F)F)nn2
T0054 + TCO,29669073582.740128,10.472303985676959,Svatunek computational data,Calculated from ΔG‡ = 13.25 kJ/mol,c1cccnc1c2nnc(c1ccccc1)nn2
T0073 + TCO,29601554432.48439,10.471314517265872,Svatunek computational data,Calculated from ΔG‡ = 13.25 kJ/mol,c1cnccc1c2nnc(Br)nn2
T1203 + TCO,29549145783.30022,10.470544930666978,Svatunek computational data,Calculated from ΔG‡ = 13.26 kJ/mol,c1cc(C(=O)O)ccc1c2nnc(C#C)nn2
T1231 + TCO,29496829925.426517,10.46977534411808,Svatunek computational data,Calculated from ΔG‡ = 13.26 kJ/mol,c1cc(C(=O)OC)ccc1c2nnc(Cl)nn2
T0028 + TCO,29422253612.30256,10.468675934669662,Svatunek computational data,Calculated from ΔG‡ = 13.27 kJ/mol,Brc2nnc(Br)nn2
T1285 + TCO,29340437434.516174,10.467466584421388,Svatunek computational data,Calculated from ΔG‡ = 13.28 kJ/mol,CC(=O)Nc2nnc(c1ncccc1)nn2
T0112 + TCO,29325586226.954315,10.467246702546703,Svatunek computational data,Calculated from ΔG‡ = 13.28 kJ/mol,c1ncncc1c2nnc(Br)nn2
T1240 + TCO,29229236439.970955,10.46581747036125,Svatunek computational data,Calculated from ΔG‡ = 13.28 kJ/mol,c1cc(C(=O)OC)ccc1c2nnc(c1cncnc1)nn2
T1340 + TCO,29214441518.85861,10.465597588486565,Svatunek computational data,Calculated from ΔG‡ = 13.29 kJ/mol,c1(NC)ccccc1c2nnc(c1ncncc1)nn2
T0297 + TCO,29155336682.916332,10.464718060975326,Svatunek computational data,Calculated from ΔG‡ = 13.29 kJ/mol,FCc2nnc(c1c(O)cccc1)nn2
T1402 + TCO,29059546254.139,10.463288828789873,Svatunek computational data,Calculated from ΔG‡ = 13.3 kJ/mol,c1cc(C(=O)[O-])ccc1c2nnc(CF)nn2
T1060 + TCO,28890841203.83146,10.460760187218497,Svatunek computational data,Calculated from ΔG‡ = 13.31 kJ/mol,c1cc(OC)ccc1c2nnc(C(F)F)nn2
T0755 + TCO,28876217568.586372,10.460540305356309,Svatunek computational data,Calculated from ΔG‡ = 13.32 kJ/mol,c1occc1c2nnc(c1ncncc1)nn2
T0958 + TCO,28810502753.056538,10.459550836932726,Svatunek computational data,Calculated from ΔG‡ = 13.32 kJ/mol,c1cc(C(F)(F)F)ccc1c2nnc(c1ccncc1)nn2
T0323 + TCO,28759494637.569046,10.45878125034633,Svatunek computational data,Calculated from ΔG‡ = 13.33 kJ/mol,FC(F)c2nnc(c1ccc(O)cc1)nn2
T0973 + TCO,28744937484.99791,10.458561368471646,Svatunek computational data,Calculated from ΔG‡ = 13.33 kJ/mol,c1cc(C(F)(F)F)ccc1c2nnc(C#C)nn2
T0961 + TCO,28708576832.045,10.458011663784932,Svatunek computational data,Calculated from ΔG‡ = 13.33 kJ/mol,c1cc(C(F)(F)F)ccc1c2nnc(c1cncnc1)nn2
T0220 + TCO,28694045452.467247,10.457791781910247,Svatunek computational data,Calculated from ΔG‡ = 13.33 kJ/mol,c1(O)ccccc1c2nnc(c1ncccc1)nn2
T0644 + TCO,28686782520.33345,10.457681840960406,Svatunek computational data,Calculated from ΔG‡ = 13.33 kJ/mol,s1cccc1c2nnc(c1ncncc1)nn2
T1270 + TCO,28643243521.899117,10.45702219533635,Svatunek computational data,Calculated from ΔG‡ = 13.34 kJ/mol,c1cc(C(=O)OC)ccc1c2nnc(c1ccc(N(=O)=O)cc1)nn2
T1429 + TCO,28614254242.31724,10.456582431611979,Svatunek computational data,Calculated from ΔG‡ = 13.34 kJ/mol,c1cc(C(=O)[O-])ccc1c2nnc(NC(=O)C)nn2
T0269 + TCO,28534684909.78757,10.455373081276212,Svatunek computational data,Calculated from ΔG‡ = 13.34 kJ/mol,c1cc(O)ccc1c2nnc(c1ncncn1)nn2
T0411 + TCO,28513022610.954777,10.455043258476683,Svatunek computational data,Calculated from ΔG‡ = 13.35 kJ/mol,c1ccccc1C#Cc2nnc(F)nn2
T0086 + TCO,28333141792.76567,10.45229473504312,Svatunek computational data,Calculated from ΔG‡ = 13.36 kJ/mol,n1cccnc1c2nnc(I)nn2
T0061 + TCO,28218614072.139614,10.450535680020643,Svatunek computational data,Calculated from ΔG‡ = 13.37 kJ/mol,c1ccncc1c2nnc(Cl)nn2
T1087 + TCO,28182919188.116676,10.44998597534643,Svatunek computational data,Calculated from ΔG‡ = 13.38 kJ/mol,c1cc(C(=O)N)ccc1c2nnc(Cl)nn2
T1220 + TCO,28111664815.495068,10.448886565948007,Svatunek computational data,Calculated from ΔG‡ = 13.38 kJ/mol,c1cc(C(=O)O)ccc1c2nnc(c1ccc(C(F)(F)F)cc1)nn2
T0590 + TCO,28061893972.854416,10.448116979386608,Svatunek computational data,Calculated from ΔG‡ = 13.39 kJ/mol,COC(=C)c2nnc(C#Cc1ccccc1)nn2
T0392 + TCO,28026397330.52236,10.447567274712394,Svatunek computational data,Calculated from ΔG‡ = 13.39 kJ/mol,C=Cc2nnc(c1ncncc1)nn2
T0671 + TCO,28026397330.52236,10.447567274712394,Svatunek computational data,Calculated from ΔG‡ = 13.39 kJ/mol,c1sccc1c2nnc(F)nn2
T1290 + TCO,27955538690.93462,10.446467865338969,Svatunek computational data,Calculated from ΔG‡ = 13.4 kJ/mol,CC(=O)Nc2nnc(c1cncnc1)nn2
T1252 + TCO,27863690221.118954,10.445038633141017,Svatunek computational data,Calculated from ΔG‡ = 13.4 kJ/mol,c1cc(C(=O)OC)ccc1c2nnc(C#C)nn2
T0116 + TCO,27842537312.437355,10.444708810341488,Svatunek computational data,Calculated from ΔG‡ = 13.41 kJ/mol,c1ncncc1c2nnc(c1cnccc1)nn2
T1188 + TCO,27828444294.05282,10.444488928454305,Svatunek computational data,Calculated from ΔG‡ = 13.41 kJ/mol,c1cc(C(=O)O)ccc1c2nnc(c1ccncc1)nn2
T0298 + TCO,27772143522.848057,10.443609400968063,Svatunek computational data,Calculated from ΔG‡ = 13.41 kJ/mol,FCc2nnc(c1cc(O)ccc1)nn2
T0285 + TCO,27765113939.967426,10.44349946003072,Svatunek computational data,Calculated from ΔG‡ = 13.41 kJ/mol,FCc2nnc(c1ccccc1)nn2
T1412 + TCO,27701927707.024685,10.44250999156964,Svatunek computational data,Calculated from ΔG‡ = 13.42 kJ/mol,c1cc(C(=O)[O-])ccc1c2nnc(C(OC)=C)nn2
T1191 + TCO,27680897602.24522,10.442180168782611,Svatunek computational data,Calculated from ΔG‡ = 13.42 kJ/mol,c1cc(C(=O)O)ccc1c2nnc(c1cncnc1)nn2
T1383 + TCO,27652882292.196865,10.441740405020742,Svatunek computational data,Calculated from ΔG‡ = 13.42 kJ/mol,c1cc(C(=O)[O-])ccc1c2nnc(F)nn2
T0094 + TCO,27478427861.937862,10.43899188157468,Svatunek computational data,Calculated from ΔG‡ = 13.44 kJ/mol,c1cncnc1c2nnc(CC)nn2
T0708 + TCO,27450617468.453323,10.43855211782531,Svatunek computational data,Calculated from ΔG‡ = 13.44 kJ/mol,o1cccc1c2nnc(F)nn2
T1128 + TCO,27450617467.663303,10.43855211781281,Svatunek computational data,Calculated from ΔG‡ = 13.44 kJ/mol,c1cc(C(=O)N)ccc1c2nnc(c1ccc(C(=O)N)cc1)nn2
T1223 + TCO,27408954642.977463,10.437892472188755,Svatunek computational data,Calculated from ΔG‡ = 13.44 kJ/mol,c1cc(C(=O)O)ccc1c2nnc(c1ccc(C(=O)N)cc1)nn2
T1237 + TCO,27395081091.318066,10.43767259031407,Svatunek computational data,Calculated from ΔG‡ = 13.45 kJ/mol,c1cc(C(=O)OC)ccc1c2nnc(c1ccncc1)nn2
T0569 + TCO,27346578938.241325,10.436903003752672,Svatunek computational data,Calculated from ΔG‡ = 13.45 kJ/mol,COC(=C)c2nnc(I)nn2
T0608 + TCO,27270534707.02405,10.435693653454404,Svatunek computational data,Calculated from ΔG‡ = 13.46 kJ/mol,CC(=C)c2nnc(c1ncccn1)nn2
T0077 + TCO,27256731219.187122,10.43547377157972,Svatunek computational data,Calculated from ΔG‡ = 13.46 kJ/mol,c1cnccc1c2nnc(c1cnccc1)nn2
T0022 + TCO,27174056892.395725,10.434154480319108,Svatunek computational data,Calculated from ΔG‡ = 13.47 kJ/mol,Brc2nncnn2
T1051 + TCO,27167178695.7863,10.434044539394264,Svatunek computational data,Calculated from ΔG‡ = 13.47 kJ/mol,c1cc(OC)ccc1c2nnc(c1ncncn1)nn2
T1130 + TCO,27043668423.264946,10.432065602503352,Svatunek computational data,Calculated from ΔG‡ = 13.48 kJ/mol,CC(=O)c2nnc(C)nn2
T0679 + TCO,27002623241.46864,10.431405956898045,Svatunek computational data,Calculated from ΔG‡ = 13.48 kJ/mol,c1sccc1c2nnc(c1ncccn1)nn2
T1225 + TCO,26825479430.14519,10.42854749250214,Svatunek computational data,Calculated from ΔG‡ = 13.5 kJ/mol,c1cc(C(=O)O)ccc1c2nnc(c1ccc(C(=O)O)cc1)nn2
T0267 + TCO,26798329873.332375,10.42810772875277,Svatunek computational data,Calculated from ΔG‡ = 13.5 kJ/mol,c1cc(O)ccc1c2nnc(c1ncncc1)nn2
T1082 + TCO,26690006143.620346,10.42634867375529,Svatunek computational data,Calculated from ΔG‡ = 13.51 kJ/mol,c1cc(C(=O)N)ccc1c2nncnn2
T0011 + TCO,26656244857.403255,10.425798969062328,Svatunek computational data,Calculated from ΔG‡ = 13.51 kJ/mol,Fc2nncnn2
T0947 + TCO,26595582126.19852,10.424809500632495,Svatunek computational data,Calculated from ΔG‡ = 13.52 kJ/mol,c1cc(C(F)(F)F)ccc1c2nncnn2
T1093 + TCO,26561940281.1858,10.424259795945783,Svatunek computational data,Calculated from ΔG‡ = 13.52 kJ/mol,c1cc(C(=O)N)ccc1c2nnc(c1ccncc1)nn2
T1281 + TCO,26541775604.002007,10.423929973133754,Svatunek computational data,Calculated from ΔG‡ = 13.52 kJ/mol,CC(=O)Nc2nnc(Cl)nn2
T0560 + TCO,26521626234.206455,10.423600150309229,Svatunek computational data,Calculated from ΔG‡ = 13.53 kJ/mol,COC(=O)c2nnc(SC)nn2
T0700 + TCO,26488077938.279068,10.423050445610016,Svatunek computational data,Calculated from ΔG‡ = 13.53 kJ/mol,c1sccc1c2nnc(C(OC)=C)nn2
T1096 + TCO,26481373374.1212,10.422940504685172,Svatunek computational data,Calculated from ΔG‡ = 13.53 kJ/mol,c1cc(C(=O)N)ccc1c2nnc(c1cncnc1)nn2
T1287 + TCO,26427797911.945324,10.422060977186433,Svatunek computational data,Calculated from ΔG‡ = 13.53 kJ/mol,CC(=O)Nc2nnc(c1ccncc1)nn2
T1158 + TCO,26234493871.90971,10.4188726900035,Svatunek computational data,Calculated from ΔG‡ = 13.55 kJ/mol,CC(=O)c2nnc(/C=C/c1ccccc1)nn2
T0430 + TCO,26227853491.74676,10.418762749041159,Svatunek computational data,Calculated from ΔG‡ = 13.55 kJ/mol,c1ccccc1C#Cc2nnc(CF)nn2
T0629 + TCO,26207942439.570187,10.41843292624163,Svatunek computational data,Calculated from ΔG‡ = 13.56 kJ/mol,CC(=C)c2nnc(C(OC)=C)nn2
T0605 + TCO,26188046502.24971,10.418103103429603,Svatunek computational data,Calculated from ΔG‡ = 13.56 kJ/mol,CC(=C)c2nnc(c1ncccc1)nn2
T1125 + TCO,26141681366.99059,10.417333516868204,Svatunek computational data,Calculated from ΔG‡ = 13.56 kJ/mol,c1cc(C(=O)N)ccc1c2nnc(c1ccc(C(F)(F)F)cc1)nn2
T0953 + TCO,26062389177.82869,10.416014225620094,Svatunek computational data,Calculated from ΔG‡ = 13.57 kJ/mol,c1cc(C(F)(F)F)ccc1c2nnc(Br)nn2
T0754 + TCO,25989915967.426636,10.414804875309327,Svatunek computational data,Calculated from ΔG‡ = 13.58 kJ/mol,c1occc1c2nnc(c1ncccn1)nn2
T1108 + TCO,25943901616.218777,10.414035288747929,Svatunek computational data,Calculated from ΔG‡ = 13.58 kJ/mol,c1cc(C(=O)N)ccc1c2nnc(C#C)nn2
T1001 + TCO,25897968731.266804,10.413265702174032,Svatunek computational data,Calculated from ΔG‡ = 13.58 kJ/mol,c1cc(N(=O)=O)ccc1c2nnc(c1cnccc1)nn2
T0713 + TCO,25832491360.418686,10.412166292813106,Svatunek computational data,Calculated from ΔG‡ = 13.59 kJ/mol,o1cccc1c2nnc(c1ncccc1)nn2
T0225 + TCO,25689023271.54294,10.409747592166573,Svatunek computational data,Calculated from ΔG‡ = 13.61 kJ/mol,c1(O)ccccc1c2nnc(c1cncnc1)nn2
T0222 + TCO,25682520961.142075,10.409637651241729,Svatunek computational data,Calculated from ΔG‡ = 13.61 kJ/mol,c1(O)ccccc1c2nnc(c1ccncc1)nn2
T1177 + TCO,25604621483.996143,10.408318359993618,Svatunek computational data,Calculated from ΔG‡ = 13.61 kJ/mol,c1cc(C(=O)O)ccc1c2nncnn2
T1320 + TCO,25604621483.259224,10.40831835998112,Svatunek computational data,Calculated from ΔG‡ = 13.61 kJ/mol,CC(=O)Nc2nnc(c1ccc(N(=O)=O)cc1)nn2
T1049 + TCO,25565760395.44359,10.407658714357064,Svatunek computational data,Calculated from ΔG‡ = 13.62 kJ/mol,c1cc(OC)ccc1c2nnc(c1ncncc1)nn2
T0362 + TCO,25533421213.532936,10.407109009657853,Svatunek computational data,Calculated from ΔG‡ = 13.62 kJ/mol,C#Cc2nnc(c1cnccc1)nn2
T0216 + TCO,25494668189.01893,10.406449364033797,Svatunek computational data,Calculated from ΔG‡ = 13.62 kJ/mol,c1(O)ccccc1c2nnc(Cl)nn2
T1183 + TCO,25468865519.45062,10.40600960025943,Svatunek computational data,Calculated from ΔG‡ = 13.63 kJ/mol,c1cc(C(=O)O)ccc1c2nnc(Br)nn2
T0874 + TCO,25391614097.250565,10.404690309036317,Svatunek computational data,Calculated from ΔG‡ = 13.63 kJ/mol,c1cc(NC(=O)C)ccc1c2nnc(c1ncccn1)nn2
T0033 + TCO,25372337881.129868,10.40436048622429,Svatunek computational data,Calculated from ΔG‡ = 13.64 kJ/mol,Ic2nnc(F)nn2
T0619 + TCO,25353076298.679356,10.404030663412263,Svatunek computational data,Calculated from ΔG‡ = 13.64 kJ/mol,CC(=C)c2nnc(CF)nn2
T1274 + TCO,25167633224.256836,10.40084237621683,Svatunek computational data,Calculated from ΔG‡ = 13.66 kJ/mol,c1cc(C(=O)OC)ccc1c2nnc(c1ccc(C(=O)O)cc1)nn2
T0303 + TCO,25142161542.737247,10.400402612479958,Svatunek computational data,Calculated from ΔG‡ = 13.66 kJ/mol,FC(F)c2nnc(CC)nn2
T0056 + TCO,25034194178.808292,10.398533616532637,Svatunek computational data,Calculated from ΔG‡ = 13.67 kJ/mol,c1ccncc1c2nncnn2
T0053 + TCO,25002527397.589306,10.397983911845923,Svatunek computational data,Calculated from ΔG‡ = 13.67 kJ/mol,c1cccnc1c2nnc(I)nn2
T0491 + TCO,24989871903.792324,10.397764029971238,Svatunek computational data,Calculated from ΔG‡ = 13.67 kJ/mol,COc2nnc(C(F)(F)F)nn2
T1011 + TCO,24939313954.321674,10.3968845024725,Svatunek computational data,Calculated from ΔG‡ = 13.68 kJ/mol,c1cc(N(=O)=O)ccc1c2nnc(c1c(O)cccc1)nn2
